OBJECTID,plz,einwohner,SHAPE_Length,SHAPE_Area
5098,74927,2559,20901.93179,19354063.02
5099,74924,3870,54057.64141,61992806.2
5100,74915,5662,38783.35584,60095945.3
5101,74933,1828,22032.90296,15194574.87
5102,74925,2506,33842.57113,30512076.75
5103,74934,2027,25535.16366,23566820.02
5104,74939,2176,24111.87075,27343495.79
5105,70437,21160,21022.95432,13094621.52
5106,70794,43869,50513.4374,84081739.05
5107,70176,15739,7696.777553,2156279.006
5108,70193,14449,14388.21944,6096553.031
5109,70806,31023,29896.97007,33638027.23
5110,70178,10933,8350.463666,2460322.711
5111,70372,20128,15218.51071,10137133.92
5112,70565,20257,26431.59842,17847109.55
5113,70188,15619,15857.22506,5126862.583
5114,70374,24823,21625.8157,12258248.27
5115,70439,13762,23588.57819,11088628.99
5116,70734,17828,34446.14565,26033308.73
5117,70190,16710,12879.62279,4804787.134
5118,70825,18552,37130.44848,47780309.92
5119,70180,15149,9573.428915,3113367.523
5120,70197,15800,32496.18797,24434119.64
5121,70182,8656,8198.940923,1384105.762
5122,70376,25718,22926.58338,16271780.18
5123,70378,22061,29253.5323,21197883.33
5124,60433,23869,17745.01453,14825012.9
5125,70736,25793,28329.37294,37769458.99
5126,70597,20364,24760.47362,20823521.96
5127,70191,15290,15984.80809,8490592.98
5128,70771,36404,51695.17503,64854792.61
5129,60318,17913,9716.064965,2555831.803
5130,70174,5314,9849.280469,2907439.966
5131,60313,4558,8444.429858,1811036.896
5132,70173,1166,11766.71861,3418055.063
5133,70192,7922,16176.16806,7432314.046
5134,60594,15913,15371.35025,4308892.486
5135,70499,31452,33217.15551,35226217.64
5136,70184,10090,22152.2789,10179347.19
5137,70329,17340,52639.23831,27334204.88
5138,70327,24947,30464.77285,23244099.3
5139,70563,18070,19687.45205,10671253.61
5140,75175,18837,27049.83878,20470333.42
5141,70186,12688,13424.64342,6715272.326
5142,75172,13892,12459.1697,3882201.65
5143,70435,20600,28349.50168,15204957.81
5144,75050,4942,35765.58794,44543239.04
5145,60329,4313,7787.932235,2368764.754
5146,70619,24403,23187.54957,17300906.69
5147,60438,4696,13003.8985,8697100.936
5148,88605,10697,116479.3079,280745174
5149,70599,19589,33699.72484,39248067.96
5150,60325,8394,8686.961514,2986423.65
5151,75217,10194,40903.10728,43967059.73
5152,75331,4242,32276.13231,34989825.39
5153,75210,9087,47641.47593,69044283.96
5154,75443,4728,28990.1093,33028326.85
5155,75305,7417,53353.37614,65084032.25
5156,75177,17249,31213.34455,30733091.51
5157,75391,3627,29890.1654,33584465.83
5158,75059,1661,25036.78712,23499103.84
5159,75239,4518,19457.51725,18595005.6
5160,75447,2763,39782.84019,40238959.66
5161,75053,3365,29547.67421,34586955.28
5162,75245,6560,49162.42195,51972688.9
5163,75428,7230,50035.10662,68164672.5
5164,75233,5077,41928.63394,34067182.43
5165,75045,9177,52057.80797,85520198.11
5166,75180,13266,35006.7891,31993901.5
5167,75248,3392,53123.831,36216679.61
5168,75387,5526,46768.96134,56030718.97
5169,75417,24700,82150.79755,125718061.3
5170,75446,6316,47558.9507,56877380.93
5171,75056,4596,32546.89176,43631993.31
5172,75337,1203,46431.56033,46338281.53
5173,75038,10338,51693.73647,78174190.11
5174,75196,11602,45671.89215,55699096.49
5175,75249,2977,29495.28898,19991081.24
5176,75179,13091,26950.34938,24105553.8
5177,75228,5901,21207.61281,18204511.69
5178,75173,12624,20226.38882,8769163.045
5179,60489,16988,17236.99158,9131870.994
5180,75057,2246,28806.97483,29498957.6
5181,75015,27528,78568.31048,165266912.2
5182,75181,25574,84604.94698,108954091.7
5183,75223,11767,34528.11053,50832802.1
5184,75433,6381,45135.62326,59053777.77
5185,75334,10655,44685.90052,76294883.77
5186,75031,20765,118868.5271,206853589.8
5187,75449,2972,18930.80023,16338762.37
5188,75438,7709,45788.26489,61208436.36
5189,74235,4905,28880.99139,28647423.76
5190,74076,16447,32989.72261,30979246.3
5191,74336,14968,59898.93048,106499220
5192,74254,2657,18493.39424,13271098.8
5193,74374,3902,40153.46899,51509293.17
5194,74397,2309,29364.93512,28110972.65
5195,74831,7155,52582.37114,90371518.63
5196,74196,9584,61523.64734,96447436.99
5197,74182,13377,57212.35568,72707237.58
5198,74246,3125,28046.15421,29265230.7
5199,74391,2674,21199.79874,14419763.02
5200,74912,5416,34540.7833,50262903.56
5201,74257,4071,17524.73596,8600719.923
5202,74255,1372,26494.00344,32986883.79
5203,74366,5191,31757.32527,19934920.05
5204,74399,3027,17179.50204,14205798.51
5205,74199,7896,53767.33702,63493653.33
5206,74081,17665,46742.39703,35069302.38
5207,74354,11743,48100.90371,39073760.57
5208,74392,2362,13679.21758,7194904.668
